"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"16",Idaho,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,5,49,49,49,85.591835,39.076122,29.840204,30.119797
State,"17",Illinois,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,63,1833,1869,1869,275.42642,41.055542,30.902697,29.889187
State,"17",Illinois,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,147,9956,10533,10416,233.4446,143.8631,109.639015,105.68003
State,"17",Illinois,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,104,2250,2278,2278,287.91113,43.321815,32.26229,32.073315
State,"17",Illinois,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,116,1697,1889,1882,442.6995,55.086468,40.540688,41.23465
State,"17",Illinois,"95810",Sleep study in sleep lab (6 years or older),N,F,176,4029,4084,4084,731.63165,117.16867,88.940636,87.82975
State,"17",Illinois,"95810",Sleep study in sleep lab (6 years or older),N,O,146,3569,4300,4272,1870.864,399.40482,312.0264,309.94006
State,"17",Illinois,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,174,4668,4900,4900,832.5597,121.35522,92.36881,91.36643
State,"17",Illinois,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,145,3896,4735,4693,2080.964,415.16324,323.09332,320.69485
State,"17",Illinois,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,3,190,197,197,340.86295,207.4508,154.12148,153.74132
State,"17",Illinois,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,36,624,629,629,496.57925,45.170303,33.156246,32.870605
State,"17",Illinois,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,161,2372,2914,2876,327.2619,58.198868,43.38733,43.60101
State,"17",Illinois,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,F,2,20,20,20,162.6015,41.419,33.141,32.452
State,"17",Illinois,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,10,6443,6785,6785,253.96832,215.86449,170.15622,170.30977
State,"18",Indiana,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,22,329,331,331,173.61632,38.010452,28.479063,29.905256
